radiant_team,dire_team,radiant_win
"39,104,79,28,26","36,27,100,11,45",true
"126,30,29,67,16","11,32,14,23,45",false
"84,30,59,8,42","72,102,74,31,104",false
"32,30,88,42,37","12,45,25,104,119",true
"35,121,28,71,44","119,67,59,97,83",false
"9,91,72,75,71","67,6,14,5,99",true
"113,88,2,61,86","50,104,32,80,55",false
"71,10,2,22,53","106,129,8,27,72",true
"10,126,84,56,28","11,26,30,41,96",true
"63,2,27,7,82","26,50,41,53,36",true
"100,67,48,128,2","80,27,11,28,60",true
"83,77,96,41,36","46,71,81,28,32",false
"83,73,63,10,48","93,11,37,9,98",true
"23,37,14,40,53","32,30,93,57,28",true
"49,74,111,67,114","71,41,62,21,39",true
"42,126,70,22,105","26,104,46,135,121",false
"63,71,138,61,91","1,83,112,126,23",true
"35,83,60,43,84","26,93,74,96,47",true
"39,41,99,121,14","7,5,62,59,12",true
"11,88,21,84,96","22,37,42,67,9",false
"14,105,29,93,80","79,76,64,10,88",true
"18,135,36,26,75","30,48,108,11,64",false
"62,54,99,30,36","6,45,22,64,28",false
"97,45,14,93,84","138,40,17,42,121",true
"50,83,104,25,70","71,75,138,36,14",false
"136,42,7,53,1","62,129,75,67,74",true
"63,71,82,97,26","49,64,92,50,95",false
"84,53,14,35,89","77,88,2,60,101",false
"30,84,25,41,99","36,68,78,5,93",true
"36,50,83,63,28","9,75,8,71,111",true
"30,57,10,16,88","71,40,44,84,85",true
"94,42,114,95,71","119,80,112,8,62",true
"34,69,1,64,121","137,114,8,7,30",false
"63,67,9,126,29","64,50,13,10,53",true
"67,86,53,123,71","17,14,97,10,68",true
"27,86,60,74,104","72,95,63,11,71",true
"101,15,77,41,99","22,48,104,21,84",false
"54,9,128,71,36","26,2,83,12,5",true
"123,81,68,74,46","113,93,50,42,7",false
"48,114,88,26,97","83,28,67,86,81",true
"76,42,119,63,64","74,135,6,30,104",true
"17,45,96,2,30","29,48,28,53,36",true
"5,104,56,135,54","57,72,30,11,35",true
"2,11,55,68,8","40,1,107,42,45",true
"97,45,28,137,32","46,113,14,81,53",true
"42,104,17,114,83","88,1,14,64,34",false
"97,83,75,101,14","45,42,26,28,74",true
"49,55,114,71,7","102,68,21,43,56",false
"100,53,119,22,35","28,59,30,83,12",true
"63,78,21,22,84","7,97,137,76,73",true
"13,35,60,26,53","7,22,90,29,1",true
"8,36,105,121,96","67,85,19,50,69",true
"63,99,123,1,69","9,8,42,90,37",false
"55,27,58,54,56","31,40,13,67,96",true
"36,64,67,83,47","96,11,6,1,100",true
"26,36,4,6,75","14,101,104,49,44",false
"5,88,25,95,1","15,56,58,96,37",false
"53,74,1,37,99","72,77,26,59,97",false
"7,81,79,22,49","106,100,71,64,6",true
"129,50,16,62,113","18,30,92,71,1",false
"84,120,20,63,96","97,100,6,126,64",true
"114,18,87,71,105","88,50,14,12,42",false
"67,135,13,14,50","27,121,54,22,84",true
"101,1,104,86,50","39,2,27,87,11",false
"22,84,104,114,93","101,23,86,21,1",true
"137,80,93,19,30","67,121,28,34,113",true
"88,23,42,99,45","46,17,137,62,19",false
"104,84,11,53,42","113,71,79,34,44",true
"45,83,39,42,12","99,88,1,86,80",false
"14,6,30,36,25","85,91,10,74,4",true
"100,20,126,28,54","45,74,5,14,63",true
"96,14,44,39,62","6,67,74,30,29",true
"104,35,27,71,74","126,30,76,26,67",false
"28,97,41,83,37","42,14,44,26,11",true
"50,129,1,119,25","84,69,21,42,27",false
"128,57,36,20,35","41,75,29,64,13",true
"35,67,5,25,108","42,100,14,21,32",true
"88,74,41,28,84","30,50,114,101,81",true
"40,79,97,44,23","83,36,114,30,48",true
"86,23,83,5,42","85,81,75,93,65",false
"114,22,72,32,20","50,97,44,28,64",true
"47,14,67,68,36","25,71,12,96,37",true
"8,62,28,22,45","37,21,129,67,13",true
"42,75,101,110,61","36,70,83,45,56",true
"108,88,75,12,47","123,18,30,57,14",false
"58,99,12,62,36","53,27,88,44,47",false
"36,111,39,41,16","104,88,73,12,64",false
"49,46,136,50,63","29,10,104,71,121",false
"21,87,42,49,36","67,50,96,74,30",false
"48,6,60,56,31","5,21,14,104,47",false
"54,97,62,30,16","71,26,18,64,91",true
"71,28,35,32,123","41,30,29,53,59",true
"75,114,36,121,93","7,37,6,28,56",false
"18,21,27,13,28","102,31,74,53,41",false
"63,11,96,84,75","48,108,59,87,40",false
"69,25,53,84,41","87,22,62,138,114",true
"36,86,64,8,35","26,47,72,104,93",false
"72,30,71,47,23","14,67,76,2,39",true
"27,1,40,119,2","41,105,23,87,120",true
"97,71,63,75,34","104,7,27,12,22",false
"76,100,48,136,71","28,101,11,32,36",true
"129,53,67,97,111","60,121,83,11,12",true
"64,22,72,67,49","80,85,88,41,35",false
"70,13,22,30,42","28,39,64,18,37",true
"84,36,85,41,26","30,83,81,28,105",false
"7,69,42,63,81","27,80,44,64,29",false
"41,14,35,34,97","60,63,25,53,1",false
"63,74,28,15,14","26,48,35,75,100",true
"61,137,64,93,53","14,96,30,62,72",false
"106,123,42,2,75","41,30,85,26,7",true
"41,84,18,35,13","97,63,53,27,104",false
"27,35,33,11,110","54,51,20,6,75",true
"75,11,54,31,1","26,36,28,93,9",false
