match_id,radiant_team,dire_team,radiant_win
7479568312,"26,35,14,42,8","71,23,45,39,48",false
7479568215,"71,114,87,62,25","60,64,17,75,41",false
7479568212,"64,68,75,28,41","6,62,56,81,76",false
7479568203,"7,25,81,85,62","23,12,35,27,53",false
7479568201,"29,41,68,9,110","88,48,105,102,46",false
7479568009,"11,104,44,88,36","34,71,64,81,42",false
7479568004,"14,53,104,93,138","81,95,126,27,5",true
7479567919,"71,104,46,37,48","47,41,14,86,108",true
7479567916,"12,83,57,53,39","11,26,23,44,75",false
7479567810,"38,42,54,138,121","32,26,44,23,83",false
7479567809,"74,108,72,76,93","31,40,23,1,88",false
7479567702,"21,80,74,87,54","42,40,76,30,138",false
7479567511,"88,67,35,74,42","12,84,97,37,62",false
7479567510,"104,36,30,47,27","6,37,86,7,28",true
7479567500,"26,2,35,119,1","72,11,93,28,71",true
7479567415,"84,104,37,76,138","30,44,36,7,53",true
7479567412,"16,138,82,26,85","71,76,93,86,30",true
7479567410,"96,123,37,76,46","36,10,88,71,87",false
7479567318,"12,30,42,86,71","26,36,114,7,53",false
7479567303,"63,57,138,42,136","29,78,25,1,48",true
7479567301,"35,44,42,5,88","31,28,121,93,25",true
7479567300,"27,35,135,42,138","105,85,78,14,12",false
7479567217,"138,71,25,88,26","28,137,67,72,84",true
7479567216,"7,97,53,46,74","25,16,79,48,45",false
7479567214,"67,83,34,81,56","97,114,74,17,137",true
7479567118,"93,16,82,74,50","67,25,14,38,88",true
7479567117,"67,42,56,28,105","81,6,74,137,85",true
7479567115,"70,14,27,21,62","5,71,93,36,83",true
7479567014,"23,63,83,45,71","1,84,9,36,97",true
7479567013,"67,49,16,104,83","74,36,93,88,51",false
7479567012,"30,1,110,88,26","50,8,66,96,58",true
7479567010,"10,53,60,26,50","20,12,62,35,28",false
7479566902,"76,74,89,119,54","67,21,68,42,110",true
7479566900,"104,75,1,105,17","70,87,8,2,5",false
7479566709,"106,99,45,9,89","29,36,64,70,14",false
7479566702,"32,26,7,58,35","49,87,12,5,22",false
7479566700,"129,31,42,119,35","104,1,39,37,62",true
7479566513,"121,28,46,86,21","48,63,14,52,9",false
7479566508,"101,44,76,29,55","22,82,5,95,110",false
7479566304,"72,87,4,84,129","99,13,86,62,63",true
